title,imdbid,production_countries
Mr. Blandings Builds His Dream House,40613,United States of America
I Remember Mama,40458,United States of America
Joan of Arc,40491,United States of America
The Barkleys of Broadway,41158,United States of America
On the Town,41716,United States of America
Adam's Rib,41090,United States of America
Pinky,41746,United States of America
Caught,40221,United States of America
Little Women,41594,United States of America
Late Spring,41154,Japan
A Letter to Three Wives,41587,United States of America
The Heiress,41452,United States of America
Under Capricorn,42004,United States of America
Flame of My Love,42031,Japan
Sunset Boulevard,43014,United States of America
Cinderella,42332,United States of America
Summer Stock,43012,United States of America
Born Yesterday,42276,United States of America
No Way Out,42792,United States of America
Stage Fright,42994,United Kingdom
Scandal,42958,Japan
Les Enfants terribles,42436,France
Three Secrets,43045,United States of America
Caged,42296,United States of America
Alice in Wonderland,43274,United States of America
The Day the Earth Stood Still,43456,United States of America
A Streetcar Named Desire,44081,United States of America
Show Boat,44030,United States of America
Early Summer,43313,Japan
Bellissima,43332,Italy
Quo Vadis,43949,United States of America
Cause for Alarm!,43390,United States of America
Westward the Women,44205,United States of America
The Idiot,43614,Japan
Singin' in the Rain,45152,United States of America
Lovely to Look At,44855,United States of America
Clash by Night,44502,United States of America
Forbidden Games,43686,France
Europe '51,43511,Italy
The Story of Robin Hood and His Merrie Men,45197,United States of America
Peter Pan,46183,United States of America
Roman Holiday,46250,United States of America
Tokyo Story,46438,Japan
Calamity Jane,45591,United States of America
Gentlemen Prefer Blondes,45810,United States of America
The Cruel Sea,45659,United Kingdom
Miss Sadie Thompson,46076,United States of America
Salome,46269,United States of America
From Here to Eternity,45793,United States of America
The Big Heat,45555,United States of America
How to Marry a Millionaire,45891,United States of America
Pickup on South Street,46187,United States of America
Monsieur Hulot's Holiday,46487,France
Summer with Monika,46345,Sweden
The Earrings of Madame de...,46022,France
The Earrings of Madame de...,46022,Italy
House of Wax,45888,United States of America
Seven Brides for Seven Brothers,47472,United States of America
White Christmas,47673,United States of America
Rear Window,47396,United States of America
Sabrina,47437,United States of America
Hobson's Choice,47094,United Kingdom
Journey to Italy,46511,Italy
Journey to Italy,46511,France
Three Coins in the Fountain,47580,United States of America
Late Chrysanthemums,46750,Japan
Salt of the Earth,47443,United States of America
Woman of Rumor,47638,Japan
Carmen Jones,46828,United States of America
Poverty and Nobility,47238,Italy
Jail Bait,47127,United States of America
To Catch a Thief,48728,United States of America
The Night of the Hunter,48424,United States of America
Daddy Long Legs,47969,United States of America
The Ladykillers,48281,United Kingdom
Guys and Dolls,48140,United States of America
Diabolique,46911,France
The Fast and the Furious,46969,United States of America
We're No Angels,48801,United States of America
Bride of the Monster,47898,United States of America
Marty,48356,United States of America
Oklahoma!,48445,United States of America
Summertime,48673,United Kingdom
Summertime,48673,United States of America
Pather Panchali,48473,India
The Glass Slipper,48124,United States of America
My Sister Eileen,48401,United States of America
The Prodigal,48517,United States of America
The Grand Manoeuvre,48133,France
The Grand Manoeuvre,48133,Italy
The Bad Seed,48977,United States of America
Gunslinger,49287,United States of America
Invasion of the Body Snatchers,49366,United States of America
War and Peace,49934,Italy
War and Peace,49934,United States of America
...And God Created Woman,49189,France
Bus Stop,49038,United States of America
Aparajito,48956,India
The Man Who Never Was,49471,United Kingdom
High Society,49314,United States of America
Main Street,49043,Spain
Main Street,49043,France
Flowing,49537,Japan
Sissi: The Young Empress,49762,Austria
Sissi: The Young Empress,49762,Germany
Fool's Mate,49095,France
Desk Set,50307,United States of America
The Cranes Are Flying,50634,Soviet Union
Funny Face,50419,United States of America
Nights of Cabiria,50783,Italy
Nights of Cabiria,50783,France
Night of the Demon,50766,United Kingdom
Tammy and the Bachelor,51051,United States of America
The Prince and the Showgirl,50861,United Kingdom
The Prince and the Showgirl,50861,United States of America
The Mysterians,50251,Japan
Island in the Sun,50549,United States of America
Girls in Uniform,51964,France
Girls in Uniform,51964,Germany
Dracula,51554,United Kingdom
The Wild Women of Wongo,52394,United States of America
Mon Oncle,50706,France
Mon Oncle,50706,Italy
Auntie Mame,51383,United States of America
Separate Tables,52182,United States of America
South Pacific,52225,United States of America
Indiscreet,51773,United Kingdom
Indiscreet,51773,United States of America
The Inn of the Sixth Happiness,51776,United Kingdom
The Inn of the Sixth Happiness,51776,United States of America
Cat on a Hot Tin Roof,51459,United States of America
Love Is My Profession,51579,France
Love Is My Profession,51579,Italy
Brink of Life,52017,Sweden
I Want to Live!,51758,United States of America
Sleeping Beauty,53285,United States of America
Sleeping Beauty,53285,United States of America
Ben-Hur,52618,United States of America
The Nun's Story,53131,United States of America
Darby O'Gill and the Little People,52722,United States of America
Some Like It Hot,53291,United States of America
Imitation of Life,52918,United States of America
"Suddenly, Last Summer",53318,United Kingdom
"Suddenly, Last Summer",53318,United States of America
The Giant Gila Monster,52846,United States of America
Araya,51372,Venezuela
Araya,51372,France
Come Dance with Me!,53428,France
Come Dance with Me!,53428,Italy
Good Morning,53134,Japan
Ghost of Dragstrip Hollow,52844,United States of America
House on Haunted Hill,51744,United States of America
The Wasp Woman,54462,United States of America
The Bat,52602,United States of America
Gidget,52847,United States of America
Pillow Talk,53172,United States of America
The Bridge,52654,Germany
Eyes Without a Face,53459,France
Eyes Without a Face,53459,Italy
Inherit the Wind,53946,United States of America
The Apartment,53604,United States of America
Psycho,54215,United States of America
Exodus,53804,Israel
Exodus,53804,United States of America
Late Autumn,53579,Japan
Horrors of Spider Island,54333,Germany
Black Sunday,54067,Italy
Jigoku,154683,Japan
The City of the Dead,53719,United Kingdom
Zazie dans le Métro,54494,France
Make Mine Mink,54049,United Kingdom
La Vérité,54452,France
La Vérité,54452,Italy
The Story of Ruth,54343,United States of America
The Virgin Spring,53976,Sweden
Wild River,54476,United States of America
Two Women,54749,Italy
Two Women,54749,France
The Brides of Dracula,53677,United Kingdom
The Good Girls,53666,France
The Good Girls,53666,Italy
The Children's Hour,54743,United States of America
Underworld U.S.A.,55571,United States of America
One Hundred and One Dalmatians,55254,United States of America
The Misfits,55184,United States of America
"One, Two, Three",55256,United States of America
West Side Story,55614,United States of America
Blue Hawaii,54692,United States of America
Paris Blues,55278,United States of America
Splendor in the Grass,55471,United States of America
A Taste of Honey,55506,United Kingdom
The Parent Trap,55277,United States of America
A Raisin in the Sun,55353,United States of America
Snow White and the Three Stooges,55458,United States of America
La Notte,54130,Italy
La Notte,54130,France
The Curse of the Werewolf,54777,United Kingdom
"Léon Morin, Priest",55082,France
"Léon Morin, Priest",55082,Italy
Accattone,54599,Italy
The Innocents,55018,United Kingdom
King of Kings,55047,United States of America
What Ever Happened to Baby Jane?,56687,United States of America
Lolita,56193,United Kingdom
Lolita,56193,United States of America
To Kill a Mockingbird,56592,United States of America
The Day of the Triffids,55894,United Kingdom
The Music Man,56262,United States of America
Carnival of Souls,55830,United States of America
Cléo from 5 to 7,55852,France
Cléo from 5 to 7,55852,Italy
Gypsy,56048,United States of America
The L-Shaped Room,57239,United Kingdom
Sundays and Cybele,55910,Austria
Sundays and Cybele,55910,France
The Miracle Worker,56241,United States of America
King Kong vs. Godzilla,56142,Japan
Hatari!,56059,United States of America
The Loneliness of the Long Distance Runner,56194,United Kingdom
Advise & Consent,55728,United States of America
Walk on the Wild Side,56671,United States of America
Vivre Sa Vie,56663,France
The Birds,56869,United States of America
Carry On Cabby,56912,United Kingdom
Bye Bye Birdie,56891,United States of America
The Haunting,57129,United Kingdom
Summer Magic,57542,United States of America
Dementia 13,56983,Ireland
Dementia 13,56983,United States of America
Tom Jones,57590,United Kingdom
From Russia with Love,57076,United Kingdom
"Move Over, Darling",57329,United States of America
The Silence,57611,Sweden
8½,56801,Italy
8½,56801,France
Sanjuro,56443,Japan
Summer Holiday,57541,United Kingdom
The Servant,57490,United Kingdom
Suzanne's Career,56910,France
"It's a Mad, Mad, Mad, Mad World",57193,United States of America
Cleopatra,56937,United States of America
Cleopatra,56937,United Kingdom
Cleopatra,56937,Switzerland
Mary Poppins,58331,United States of America
My Fair Lady,58385,United States of America
Band of Outsiders,57869,France
Marriage Italian Style,58335,Italy
Marriage Italian Style,58335,France
"Hush... Hush, Sweet Charlotte",58213,United States of America
Dead Ringer,57997,United States of America
The Umbrellas of Cherbourg,58450,France
"Ghidorah, the Three-Headed Monster",58544,Japan
The Unsinkable Molly Brown,58708,United States of America
Red Desert,58003,France
Red Desert,58003,Italy
Marnie,58329,United States of America
The Chalk Garden,57933,United Kingdom
The Chalk Garden,57933,United States of America
Gate of Flesh,58409,Japan
Seduced and Abandoned,58564,Italy
Seduced and Abandoned,58564,France
The Sound of Music,59742,United States of America
Juliet of the Spirits,59229,Italy
Juliet of the Spirits,59229,France
Repulsion,59646,United Kingdom
A Study in Terror,59764,United Kingdom
That Darn Cat!,59793,United States of America
Viva Maria!,59956,France
Viva Maria!,59956,Italy
Inside Daisy Clover,59314,United States of America
Darling,59084,United Kingdom
"Faster, Pussycat! Kill! Kill!",59170,United States of America
Bunny Lake Is Missing,58997,United Kingdom
I Am Twenty,58361,Soviet Union
A Patch of Blue,59573,United States of America
Red Beard,58888,Japan
Persona,60827,Sweden
Daisies,60959,Czechoslovakia
The Trouble with Angels,61122,United States of America
The Group,60479,United States of America
Fahrenheit 451,60390,United Kingdom
Georgy Girl,60453,United Kingdom
Torn Curtain,61107,United States of America
Black Girl,60758,Senegal
Black Girl,60758,France
The Plague of the Zombies,60841,United Kingdom
Manos: The Hands of Fate,60666,United States of America
Bonnie and Clyde,61418,United States of America
Thoroughly Modern Millie,62362,United States of America
I Am Curious (Yellow),61834,Sweden
Valley of the Dolls,62430,United States of America
Belle de Jour,61395,France
Belle de Jour,61395,Italy
Bedazzled,61391,United Kingdom
Two for the Road,62407,United Kingdom
Wait Until Dark,62467,United States of America
Berserk,61398,United Kingdom
PlayTime,62136,France
PlayTime,62136,Italy
The Fox,62990,Canada
Woman Times Seven,62502,Italy
Woman Times Seven,62502,France
Woman Times Seven,62502,United States of America
Guess Who's Coming to Dinner,61735,United States of America
Smashing Time,62281,United Kingdom
The X from Outer Space,62411,Japan
The Young Girls of Rochefort,62873,France
Barefoot in the Park,61385,United States of America
A Countess from Hong Kong,61523,United Kingdom
Rosemary's Baby,63522,United States of America
Where Eagles Dare,65207,United Kingdom
Romeo and Juliet,63518,Italy
Romeo and Juliet,63518,United Kingdom
Star!,63642,United States of America
Barbarella,62711,France
Barbarella,62711,Italy
The Party,63415,United States of America
The Lion in Winter,63227,United Kingdom
Night of the Living Dead,63350,United States of America
Carry On Up the Khyber,62782,United Kingdom
The Bride Wore Black,61955,France
The Bride Wore Black,61955,Italy
Funny Girl,62994,United States of America
The Killing of Sister George,63185,United Kingdom
The Wrecking Crew,65225,United States of America
Chitty Chitty Bang Bang,62803,United Kingdom
Women in Love,66579,United Kingdom
The Honeymoon Killers,64437,United States of America
The Prime of Miss Jean Brodie,64840,United Kingdom
True Grit,65126,United States of America
Mississippi Mermaid,64990,France
Mississippi Mermaid,64990,Italy
"Hello, Dolly!",64418,United States of America
Age of Consent,63991,Australia
Age of Consent,63991,United Kingdom
My Night at Maud's,64612,France
The Swimming Pool,64816,France
The Swimming Pool,64816,Italy
Marquis de Sade: Justine,62870,Germany
Marquis de Sade: Justine,62870,Italy
Marquis de Sade: Justine,62870,Liechtenstein
Marquis de Sade: Justine,62870,United States of America
Beyond the Valley of the Dolls,65466,United States of America
The Aristocats,65421,United States of America
Two Mules for Sister Sara,65134,Mexico
Two Mules for Sister Sara,65134,United States of America
The Vampire Lovers,66518,United Kingdom
Five Easy Pieces,65724,United States of America
Taste the Blood of Dracula,65073,United Kingdom
Airport,65377,United States of America
The Conformist,65571,France
The Conformist,65571,Italy
Darling Lili,65611,United States of America
Dodes'ka-den,65649,Japan
Donkey Skin,66207,France
Claire's Knee,65772,France
Catch-22,65528,United States of America
The Railway Children,66279,United Kingdom
Wanda,67961,United States of America
Pippi in the South Seas,66227,Germany
Pippi in the South Seas,66227,Sweden
The Party at Kitty and Stud's,65904,United States of America
Taking Off,67820,United States of America
Bedknobs and Broomsticks,66817,United States of America
Harold and Maude,67185,United States of America
Mrs. Pollifax — Spy,67451,United States of America
The Trojan Women,67881,Greece
The Trojan Women,67881,United Kingdom
The Trojan Women,67881,United States of America
Mon oncle Antoine,67439,Canada
Play Misty for Me,67588,United States of America
"Mary, Queen of Scots",67402,United Kingdom
Lust for a Vampire,67367,United Kingdom
Let's Scare Jessica to Death,67341,United States of America
McCabe & Mrs. Miller,67411,United States of America
Godzilla vs. Hedorah,67148,Japan
Klute,67309,United States of America
The House That Dripped Blood,65854,United Kingdom
The Devils,66993,United Kingdom
Nicholas and Alexandra,67483,United Kingdom
Vampyros Lesbos,66380,Germany
Vampyros Lesbos,66380,Spain
The Emigrants,67919,Sweden
Punishment Park,67633,United States of America
Daughters of Darkness,67690,Belgium
Daughters of Darkness,67690,France
Daughters of Darkness,67690,Germany
A New Leaf,67482,United States of America
The Andromeda Strain,66769,United States of America
Pink Flamingos,69089,United States of America
A Gorgeous Girl Like Me,69442,France
Cries and Whispers,69467,Sweden
Avanti!,68240,Italy
Avanti!,68240,United States of America
Travels with My Aunt,69404,United States of America
Butterflies Are Free,68326,United States of America
The Dawns Here Are Quiet,68161,Soviet Union
Cabaret,68327,United States of America
Last Tango in Paris,70849,France
Last Tango in Paris,70849,Italy
"Silent Night, Bloody Night",70694,United States of America
Wedding in White,69489,Canada
The Bitter Tears of Petra von Kant,68278,Germany
Blacula,68284,United States of America
The Last House on the Left,68833,United States of America
Frenzy,68611,United Kingdom
The Discreet Charm of the Bourgeoisie,68361,France
The Discreet Charm of the Bourgeoisie,68361,Italy
The Discreet Charm of the Bourgeoisie,68361,Spain
Lady Sings the Blues,68828,United States of America
Sisters,70698,United States of America
The Big Bird Cage,68273,Philippines
The Big Bird Cage,68273,United States of America
Don't Look Now,69995,Italy
Don't Look Now,69995,United Kingdom
The Exorcist,70047,United States of America
The Wicker Man,70917,United Kingdom
The Spirit of the Beehive,70040,Spain
Lemora: A Child's Tale of the Supernatural,70300,United States of America
Paper Moon,70510,United States of America
Robin Hood,70608,United States of America
The Legend of Hell House,70294,United Kingdom
Day for Night,70460,France
Day for Night,70460,Italy
Children Shouldn't Play with Dead Things,68370,United States of America
Lady Snowblood,158714,Japan
The Baby,69754,United States of America
Turkish Delight,70842,Netherlands
The Crazies,69895,United States of America
Terminal Island,70782,United States of America
Female Vampire,69745,Belgium
Female Vampire,69745,France
A Virgin Among the Living Dead,66914,Spain
A Virgin Among the Living Dead,66914,France
A Virgin Among the Living Dead,66914,Liechtenstein
Wedding in Blood,70453,France
Wedding in Blood,70453,Italy
The Odessa File,71935,Germany
The Odessa File,71935,United Kingdom
Alice Doesn't Live Here Anymore,71115,United States of America
Black Christmas,71222,Canada
Ali: Fear Eats the Soul,71141,Germany
Death Wish,71402,United States of America
Female Trouble,72979,United States of America
Foxy Brown,71517,United States of America
Truck Turner,72325,United States of America
Emmanuelle,71464,France
Emmanuelle,71464,Thailand
A Woman Under the Influence,72417,United States of America
"Je, Tu, Il, Elle",71690,Belgium
"Je, Tu, Il, Elle",71690,France
Dracula,70003,United Kingdom
Vampyres,72354,United Kingdom
Airport 1975,71110,United States of America
The Arena,69729,Italy
The Arena,69729,United States of America
Blood for Dracula,71233,Italy
Blood for Dracula,71233,France
Grey Gardens,73076,United States of America
The Rocky Horror Picture Show,73629,United Kingdom
The Rocky Horror Picture Show,73629,United States of America
Jaws,73195,United States of America
The Maids,71798,United States of America
The Maids,71798,United Kingdom
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",73198,Belgium
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",73198,France
Mirror,72443,Soviet Union
Dog Day Afternoon,72890,United States of America
The Story of O,73115,Canada
The Story of O,73115,France
The Story of O,73115,Germany
Nashville,73440,United States of America
Switchblade Sisters,73778,United States of America
Emmanuelle: The Joys of a Woman,72933,France
Deep Red,73582,Italy
"Salò, or the 120 Days of Sodom",73650,France
"Salò, or the 120 Days of Sodom",73650,Italy
Katie Tippel,73233,Netherlands
Love and Death,73312,United States of America
Death Race 2000,72856,United States of America
Numéro deux,73471,France
Carrie,74285,United States of America
The Omen,75005,United Kingdom
The Omen,75005,United States of America
Network,74958,United States of America
Bugsy Malone,74256,United Kingdom
Sparkle,75249,United States of America
Murder by Death,74937,United States of America
In the Realm of the Senses,74102,France
In the Realm of the Senses,74102,Japan
Small Change,74152,France
The Little Girl Who Lives Down the Lane,74806,Canada
The Little Girl Who Lives Down the Lane,74806,France
Family Plot,74512,United States of America
The Gumball Rally,74597,United States of America
Office Romance,76727,Soviet Union
The Turning Point,76843,United States of America
Julia,76245,United States of America
The Rescuers,76618,United States of America
Annie Hall,75686,United States of America
The Goodbye Girl,76095,United States of America
Suspiria,76786,Italy
3 Women,75612,United States of America
House,76162,Japan
Eaten Alive,74455,United States of America
A Little Night Music,76319,Austria
A Little Night Music,76319,Germany
A Little Night Music,76319,United States of America
The Sentinel,76683,United States of America
Slap Shot,76723,United States of America
The Hills Have Eyes,77681,United States of America
Desperate Living,75936,United States of America
Kingdom of the Spiders,76271,United States of America
"Race for Your Life, Charlie Brown",76591,United States of America
Alucarda,75666,Mexico
Peppermint Soda,75939,France
Planet of Dinosaurs,78089,United States of America
Rabid,76590,Canada
Emmanuelle 3,77497,France
Love Camp,74548,Switzerland
Autumn Sonata,77711,France
Autumn Sonata,77711,Germany
Autumn Sonata,77711,Sweden
Grease,77631,United States of America
Interiors,77742,United States of America
Halloween,77651,United States of America
Death on the Nile,77413,United Kingdom
Girlfriends,77613,United States of America
The Hound of the Baskervilles,76161,United Kingdom
Within the Woods,78503,United States of America
The Wiz,78504,United States of America
Foul Play,77578,United States of America
Starcrash,79946,Italy
Starcrash,79946,United States of America
Jubilee,76240,United Kingdom
Alien,78748,United States of America
Alien,78748,United Kingdom
Life of Brian,79470,United Kingdom
The Tin Drum,78875,Germany
The Tin Drum,78875,France
The Tin Drum,78875,Poland
The Marriage of Maria Braun,79095,Germany
The In-Laws,79336,United States of America
The China Syndrome,78966,United States of America
The Amityville Horror,78767,United States of America
Rock 'n' Roll High School,79813,United States of America
My Brilliant Career,79596,Australia
Meatballs,79540,Canada
Angels' Brigade,78778,United States of America
Mad Max,79501,Australia
Hair,79261,Germany
Hair,79261,United States of America
Tourist Trap,80040,United States of America
Lupin the Third: The Castle of Cagliostro,79833,Japan
The North Avenue Irregulars,79639,United States of America
Norma Rae,79638,United States of America
Moscow Does Not Believe in Tears,79579,Soviet Union
Nine to Five,80319,United States of America
Airplane!,80339,United States of America
Atlantic City,80388,Canada
Atlantic City,80388,France
The Terrace,81616,Italy
Fade to Black,80711,United States of America
The Fog,80749,United States of America
Little Darlings,81060,United States of America
Private Benjamin,81375,United States of America
Xanadu,81777,United States of America
"Pepi, Luci, Bom",81323,Spain
Flash Gordon,80745,United Kingdom
Flash Gordon,80745,United States of America
Can't Stop the Music,80492,United States of America
Superman II,81573,United Kingdom
Superman II,81573,United States of America
Friday the 13th,80761,United States of America
Coal Miner's Daughter,80549,United States of America
Nightmare City,80931,Spain
Nightmare City,80931,Italy
Nightmare City,80931,Mexico
The Mirror Crack'd,81163,United Kingdom
Maniac,81114,United States of America
Popeye,81353,United States of America
The Party,82100,France
American Gigolo,80365,United States of America
Clash of the Titans,82186,United States of America
Ms .45,82776,United States of America
Rich and Famous,82992,United States of America
The Woman Next Door,82370,France
Polyester,82926,United States of America
The Great Muppet Caper,82474,United Kingdom
The Great Muppet Caper,82474,United States of America
Lady Chatterley's Lover,82640,France
Lady Chatterley's Lover,82640,Germany
Lady Chatterley's Lover,82640,United Kingdom
Reds,82979,United States of America
Mommie Dearest,82766,United States of America
Christiane F.,82176,Germany
Halloween II,82495,United States of America
Inseminoid,84090,United Kingdom
The Howling,82533,United States of America
For Your Eyes Only,82398,United Kingdom
For Your Eyes Only,82398,United States of America
The Marquis of Grillo,82714,Italy
Gregory's Girl,82477,United Kingdom
Blow Out,82085,United States of America
The Beyond,82307,Italy
Happy Birthday to Me,82498,Canada
Shock Treatment,83067,United States of America
The Prowler,82951,United States of America
Galaxy of Terror,82431,United States of America
Absence of Malice,81974,United States of America
Cannibal Ferox,82700,Italy
"Ladies and Gentlemen, the Fabulous Stains",82639,United States of America
Annie,83564,United States of America
Star Trek II: The Wrath of Khan,84726,United States of America
Sophie's Choice,84707,United Kingdom
Sophie's Choice,84707,United States of America
The Secret of NIMH,84649,United States of America
The Last Unicorn,84237,United Kingdom
The Last Unicorn,84237,United States of America
E.T. the Extra-Terrestrial,83866,United States of America
Liquid Sky,85852,United States of America
Deathtrap,83806,United States of America
Smithereens,84698,United States of America
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",83745,United States of America
Cat People,83722,United States of America
Grease 2,84021,United States of America
The Slumber Party Massacre,84695,United States of America
Forbidden World,83959,United States of America
Godard's Passion,84481,France
Godard's Passion,84481,Switzerland
The Best Little Whorehouse in Texas,83642,United States of America
Poltergeist,84516,United States of America
Friday the 13th Part III,83972,United States of America
Frances,83967,United States of America
The Last American Virgin,84234,United States of America
The State of Things,84725,Germany
The State of Things,84725,United Kingdom
The State of Things,84725,United States of America
The State of Things,84725,Portugal
The State of Things,84725,France
The State of Things,84725,Spain
The State of Things,84725,Netherlands
An Officer and a Gentleman,84434,United States of America
Missing,84335,Mexico
Missing,84335,United States of America
Evil Under the Sun,83908,United Kingdom
The Entity,82334,United States of America
Victor/Victoria,84865,United Kingdom
Victor/Victoria,84865,United States of America
The Party 2,83686,France
